generation,x,y,r,c,score
203,285.000000,195.000000,73.000000,a,73.000000
204,285.000000,195.000000,73.000000,a,73.000000
205,285.000000,195.000000,73.000000,a,73.000000
206,285.000000,195.000000,73.000000,a,73.000000
207,285.000000,195.000000,73.000000,a,73.000000
208,285.000000,195.000000,73.000000,a,73.000000
209,285.000000,195.000000,73.000000,a,73.000000
210,285.000000,195.000000,73.000000,a,73.000000
211,285.000000,195.000000,73.000000,a,73.000000
212,285.000000,195.000000,73.000000,a,73.000000
213,285.000000,195.000000,73.000000,a,73.000000
214,285.000000,195.000000,73.000000,a,73.000000
215,285.000000,195.000000,73.000000,a,73.000000
216,285.000000,195.000000,73.000000,a,73.000000
217,285.000000,195.000000,73.000000,a,73.000000
218,285.000000,195.000000,73.000000,a,73.000000
219,285.000000,195.000000,73.000000,a,73.000000
220,285.000000,195.000000,73.000000,a,73.000000
221,285.000000,195.000000,73.000000,a,73.000000
222,285.000000,195.000000,73.000000,a,73.000000
223,285.000000,195.000000,73.000000,a,73.000000
224,285.000000,195.000000,73.000000,a,73.000000
225,285.000000,195.000000,73.000000,a,73.000000
226,285.000000,195.000000,73.000000,a,73.000000
227,285.000000,195.000000,73.000000,a,73.000000
228,285.000000,195.000000,73.000000,a,73.000000
229,285.000000,195.000000,73.000000,a,73.000000
230,285.000000,195.000000,73.000000,a,73.000000
231,285.000000,195.000000,73.000000,a,73.000000
232,285.000000,195.000000,73.000000,a,73.000000
233,285.000000,195.000000,73.000000,a,73.000000
234,285.000000,195.000000,73.000000,a,73.000000
235,285.000000,195.000000,73.000000,a,73.000000
236,285.000000,195.000000,73.000000,a,73.000000
237,285.000000,195.000000,73.000000,a,73.000000
238,285.000000,195.000000,73.000000,a,73.000000
239,285.000000,195.000000,73.000000,a,73.000000
240,285.000000,195.000000,73.000000,a,73.000000
241,285.000000,195.000000,73.000000,a,73.000000
242,285.000000,195.000000,73.000000,a,73.000000
243,285.000000,195.000000,73.000000,a,73.000000
244,285.000000,195.000000,73.000000,a,73.000000
245,285.000000,195.000000,73.000000,a,73.000000
246,285.000000,195.000000,73.000000,a,73.000000
247,285.000000,195.000000,73.000000,a,73.000000
248,285.000000,195.000000,73.000000,a,73.000000
249,285.000000,195.000000,73.000000,a,73.000000
250,285.000000,195.000000,73.000000,a,73.000000
251,285.000000,195.000000,73.000000,a,73.000000
252,285.000000,195.000000,73.000000,a,73.000000
253,285.000000,195.000000,73.000000,a,73.000000
254,285.000000,195.000000,73.000000,a,73.000000
255,285.000000,195.000000,73.000000,a,73.000000
256,285.000000,195.000000,73.000000,a,73.000000
257,285.000000,195.000000,73.000000,a,73.000000
258,285.000000,195.000000,73.000000,a,73.000000
259,285.000000,195.000000,73.000000,a,73.000000
260,285.000000,195.000000,73.000000,a,73.000000
261,285.000000,195.000000,73.000000,a,73.000000
262,285.000000,195.000000,73.000000,a,73.000000
263,285.000000,195.000000,73.000000,a,73.000000
264,285.000000,195.000000,73.000000,a,73.000000
265,285.000000,195.000000,73.000000,a,73.000000
266,285.000000,195.000000,73.000000,a,73.000000
267,285.000000,195.000000,73.000000,a,73.000000
268,285.000000,195.000000,73.000000,a,73.000000
269,285.000000,195.000000,73.000000,a,73.000000
270,285.000000,195.000000,73.000000,a,73.000000
271,285.000000,195.000000,73.000000,a,73.000000
272,285.000000,195.000000,73.000000,a,73.000000
273,285.000000,195.000000,73.000000,a,73.000000
274,285.000000,195.000000,73.000000,a,73.000000
275,285.000000,195.000000,73.000000,a,73.000000
276,285.000000,195.000000,73.000000,a,73.000000
277,285.000000,195.000000,73.000000,a,73.000000
278,285.000000,195.000000,73.000000,a,73.000000
279,285.000000,195.000000,73.000000,a,73.000000
280,285.000000,195.000000,73.000000,a,73.000000
281,285.000000,195.000000,73.000000,a,73.000000
282,285.000000,195.000000,73.000000,a,73.000000
283,285.000000,195.000000,73.000000,a,73.000000
284,285.000000,195.000000,73.000000,a,73.000000
285,285.000000,195.000000,73.000000,a,73.000000
286,285.000000,195.000000,73.000000,a,73.000000
287,285.000000,195.000000,73.000000,a,73.000000
288,285.000000,195.000000,73.000000,a,73.000000
289,285.000000,195.000000,73.000000,a,73.000000
290,285.000000,195.000000,73.000000,a,73.000000
291,285.000000,195.000000,73.000000,a,73.000000
292,285.000000,195.000000,73.000000,a,73.000000
293,285.000000,195.000000,73.000000,a,73.000000
294,285.000000,195.000000,73.000000,a,73.000000
295,285.000000,195.000000,73.000000,a,73.000000
296,285.000000,195.000000,73.000000,a,73.000000
297,285.000000,195.000000,73.000000,a,73.000000
298,285.000000,195.000000,73.000000,a,73.000000
299,285.000000,195.000000,73.000000,a,73.000000
300,285.000000,195.000000,73.000000,a,73.000000
301,285.000000,195.000000,73.000000,a,73.000000
302,285.000000,195.000000,73.000000,a,73.000000
303,285.000000,195.000000,73.000000,a,73.000000
304,285.000000,195.000000,73.000000,a,73.000000
305,285.000000,195.000000,73.000000,a,73.000000
306,285.000000,195.000000,73.000000,a,73.000000
307,285.000000,195.000000,73.000000,a,73.000000
308,285.000000,195.000000,73.000000,a,73.000000
309,285.000000,195.000000,73.000000,a,73.000000
310,285.000000,195.000000,73.000000,a,73.000000
311,285.000000,195.000000,73.000000,a,73.000000
312,285.000000,195.000000,73.000000,a,73.000000
313,285.000000,195.000000,73.000000,a,73.000000
314,285.000000,195.000000,73.000000,a,73.000000
315,285.000000,195.000000,73.000000,a,73.000000
316,285.000000,195.000000,73.000000,a,73.000000
317,285.000000,195.000000,73.000000,a,73.000000
318,285.000000,195.000000,73.000000,a,73.000000
319,285.000000,195.000000,73.000000,a,73.000000
320,285.000000,195.000000,73.000000,a,73.000000
321,285.000000,195.000000,73.000000,a,73.000000
322,285.000000,195.000000,73.000000,a,73.000000
323,285.000000,195.000000,73.000000,a,73.000000
324,285.000000,195.000000,73.000000,a,73.000000
325,285.000000,195.000000,73.000000,a,73.000000
326,285.000000,195.000000,73.000000,a,73.000000
327,285.000000,195.000000,73.000000,a,73.000000
328,285.000000,195.000000,73.000000,a,73.000000
329,285.000000,195.000000,73.000000,a,73.000000
330,285.000000,195.000000,73.000000,a,73.000000
331,285.000000,195.000000,73.000000,a,73.000000
332,285.000000,195.000000,73.000000,a,73.000000
333,285.000000,195.000000,73.000000,a,73.000000
334,285.000000,195.000000,73.000000,a,73.000000
335,285.000000,195.000000,73.000000,a,73.000000
336,285.000000,195.000000,73.000000,a,73.000000
337,285.000000,195.000000,73.000000,a,73.000000
338,285.000000,195.000000,73.000000,a,73.000000
339,285.000000,195.000000,73.000000,a,73.000000
340,285.000000,195.000000,73.000000,a,73.000000
341,285.000000,195.000000,73.000000,a,73.000000
342,285.000000,195.000000,73.000000,a,73.000000
343,285.000000,195.000000,73.000000,a,73.000000
344,285.000000,195.000000,73.000000,a,73.000000
345,285.000000,195.000000,73.000000,a,73.000000
346,285.000000,195.000000,73.000000,a,73.000000
347,285.000000,195.000000,73.000000,a,73.000000
348,285.000000,195.000000,73.000000,a,73.000000
349,285.000000,195.000000,73.000000,a,73.000000
350,285.000000,195.000000,73.000000,a,73.000000
351,285.000000,195.000000,73.000000,a,73.000000
352,285.000000,195.000000,73.000000,a,73.000000
353,285.000000,195.000000,73.000000,a,73.000000
354,285.000000,195.000000,73.000000,a,73.000000
355,285.000000,195.000000,73.000000,a,73.000000
356,285.000000,195.000000,73.000000,a,73.000000
357,285.000000,195.000000,73.000000,a,73.000000
358,285.000000,195.000000,73.000000,a,73.000000
359,285.000000,195.000000,73.000000,a,73.000000
360,285.000000,195.000000,73.000000,a,73.000000
361,285.000000,195.000000,73.000000,a,73.000000
362,285.000000,195.000000,73.000000,a,73.000000
363,285.000000,195.000000,73.000000,a,73.000000
364,285.000000,195.000000,73.000000,a,73.000000
365,285.000000,194.000000,73.000000,a,73.000000
366,285.000000,194.000000,73.000000,a,73.000000
367,285.000000,195.000000,73.000000,a,73.000000
368,285.000000,195.000000,73.000000,a,73.000000
369,285.000000,195.000000,73.000000,a,73.000000
370,285.000000,195.000000,73.000000,a,73.000000
371,285.000000,195.000000,73.000000,a,73.000000
372,285.000000,195.000000,73.000000,a,73.000000
373,285.000000,195.000000,73.000000,a,73.000000
374,285.000000,195.000000,73.000000,a,73.000000
375,285.000000,195.000000,73.000000,a,73.000000
376,285.000000,195.000000,73.000000,a,73.000000
377,285.000000,195.000000,73.000000,a,73.000000
378,285.000000,195.000000,73.000000,a,73.000000
379,285.000000,195.000000,73.000000,a,73.000000
380,285.000000,195.000000,73.000000,a,73.000000
381,285.000000,195.000000,73.000000,a,73.000000
382,285.000000,195.000000,73.000000,a,73.000000
383,285.000000,195.000000,73.000000,a,73.000000
384,285.000000,195.000000,73.000000,a,73.000000
385,285.000000,195.000000,73.000000,a,73.000000
386,285.000000,195.000000,73.000000,a,73.000000
387,285.000000,195.000000,73.000000,a,73.000000
388,285.000000,195.000000,73.000000,a,73.000000
389,285.000000,195.000000,73.000000,a,73.000000
390,285.000000,195.000000,73.000000,a,73.000000
391,285.000000,195.000000,73.000000,a,73.000000
392,285.000000,195.000000,73.000000,a,73.000000
393,285.000000,195.000000,73.000000,a,73.000000
394,285.000000,195.000000,73.000000,a,73.000000
395,285.000000,195.000000,73.000000,a,73.000000
396,285.000000,195.000000,73.000000,a,73.000000
397,285.000000,195.000000,73.000000,a,73.000000
398,285.000000,195.000000,73.000000,a,73.000000
399,285.000000,195.000000,73.000000,a,73.000000
400,285.000000,195.000000,73.000000,a,73.000000
401,285.000000,195.000000,73.000000,a,73.000000
402,285.000000,195.000000,73.000000,a,73.000000
403,285.000000,195.000000,73.000000,a,73.000000
404,285.000000,195.000000,73.000000,a,73.000000
405,285.000000,195.000000,73.000000,a,73.000000
406,285.000000,195.000000,73.000000,a,73.000000
407,285.000000,195.000000,73.000000,a,73.000000
408,285.000000,195.000000,73.000000,a,73.000000
409,285.000000,195.000000,73.000000,a,73.000000
410,285.000000,195.000000,73.000000,a,73.000000
411,285.000000,195.000000,73.000000,a,73.000000
412,285.000000,195.000000,73.000000,a,73.000000
413,285.000000,195.000000,73.000000,a,73.000000
414,285.000000,195.000000,73.000000,a,73.000000
415,285.000000,195.000000,73.000000,a,73.000000
416,285.000000,195.000000,73.000000,a,73.000000
417,285.000000,195.000000,73.000000,a,73.000000
418,285.000000,195.000000,73.000000,a,73.000000
419,285.000000,195.000000,73.000000,a,73.000000
420,285.000000,195.000000,73.000000,a,73.000000
421,285.000000,195.000000,73.000000,a,73.000000
422,285.000000,195.000000,73.000000,a,73.000000
423,285.000000,195.000000,73.000000,a,73.000000
424,285.000000,195.000000,73.000000,a,73.000000
425,285.000000,195.000000,73.000000,a,73.000000
426,285.000000,195.000000,73.000000,a,73.000000
427,285.000000,195.000000,73.000000,a,73.000000
428,285.000000,195.000000,73.000000,a,73.000000
429,285.000000,195.000000,73.000000,a,73.000000
430,285.000000,195.000000,73.000000,a,73.000000
431,285.000000,195.000000,73.000000,a,73.000000
432,285.000000,195.000000,73.000000,a,73.000000
433,285.000000,195.000000,73.000000,a,73.000000
434,285.000000,195.000000,73.000000,a,73.000000
435,285.000000,195.000000,73.000000,a,73.000000
436,285.000000,195.000000,73.000000,a,73.000000
437,285.000000,195.000000,73.000000,a,73.000000
438,285.000000,195.000000,73.000000,a,73.000000
439,285.000000,195.000000,73.000000,a,73.000000
440,285.000000,195.000000,73.000000,a,73.000000
441,285.000000,195.000000,73.000000,a,73.000000
442,285.000000,195.000000,73.000000,a,73.000000
443,285.000000,195.000000,73.000000,a,73.000000
444,285.000000,195.000000,73.000000,a,73.000000
445,285.000000,195.000000,73.000000,a,73.000000
446,285.000000,195.000000,73.000000,a,73.000000
447,285.000000,195.000000,73.000000,a,73.000000
448,285.000000,195.000000,73.000000,a,73.000000
449,285.000000,195.000000,73.000000,a,73.000000
450,285.000000,195.000000,73.000000,a,73.000000
451,285.000000,195.000000,73.000000,a,73.000000
452,285.000000,195.000000,73.000000,a,73.000000
453,285.000000,195.000000,73.000000,a,73.000000
454,285.000000,195.000000,73.000000,a,73.000000
455,285.000000,195.000000,73.000000,a,73.000000
456,285.000000,195.000000,73.000000,a,73.000000
457,285.000000,195.000000,73.000000,a,73.000000
