generation,score
548,3395.549928
549,3090.055493
550,3395.549928
551,3751.546468
552,3751.546468
553,3728.330844
554,3751.546468
555,3395.549928
556,3641.332392
557,4085.222315
558,3855.356504
559,4127.081226
560,3723.490633
561,3723.490633
562,3723.490633
563,3723.490633
564,3723.490633
565,3723.490633
566,3723.490633
567,3531.256916
568,4314.366991
569,4155.220678
570,4314.366991
571,4218.620179
572,4274.879969
573,4314.366991
574,4200.268043
575,4314.366991
576,4158.677165
577,4314.366991
578,4314.366991
579,4261.466397
580,3964.231594
581,3964.231594
582,4261.466397
583,4281.912897
584,4281.912897
585,4281.912897
586,4281.912897
587,4212.973173
588,4003.926795
589,4003.926795
590,4212.973173
591,4212.973173
592,4053.826860
593,4212.973173
594,3775.311497
595,4026.040674
596,4208.236781
597,4061.942291
598,3938.268674
599,4061.942291
600,3988.791743
601,3976.253019
602,3976.253019
603,3977.121934
604,3893.531149
605,3893.531149
606,3893.531149
607,3893.531149
608,3852.467182
609,3852.467182
610,3852.467182
611,3852.467182
612,3859.576059
613,4017.497781
614,3794.757670
615,4049.882209
616,3998.595419
617,3998.595419
618,3998.595419
619,4014.823434
620,4012.767587
621,3534.032491
622,3572.299167
623,3644.017392
624,3644.017392
625,4077.607884
626,4125.484881
627,4125.484881
628,4125.484881
629,4125.484881
630,4134.796083
631,4134.796083
632,4134.796083
633,3788.901034
634,4101.530893
635,4215.527007
636,3864.089888
637,3656.777398
638,3864.089888
639,3662.829560
640,3864.089888
641,3864.089888
642,4159.388515
643,3754.284604
644,3754.284604
645,3732.452418
646,3736.774280
647,3736.774280
648,3754.284604
649,3764.542011
650,3786.751740
651,4101.682427
652,3676.216016
653,3560.158182
654,4222.496872
655,3909.450083
656,3909.450083
657,3909.450083
658,3909.450083
659,3909.450083
660,3909.450083
661,4147.797982
662,4039.224372
663,3916.585586
664,3833.350931
665,3992.382606
666,3992.382606
667,4400.222372
668,4089.301369
669,4089.301369
670,3783.151056
671,3977.766446
672,3687.028950
673,3834.209593
674,3729.561009
675,3834.209593
676,3834.209593
677,3324.737106
678,3324.737106
679,3264.594760
680,3264.594760
681,3324.737106
682,3324.737106
683,3324.737106
684,3324.737106
685,3573.960301
686,3658.669379
687,3658.669379
688,3658.669379
689,3295.390635
690,3154.159338
691,3658.669379
692,3658.669379
693,3808.575715
694,3592.578318
695,3961.833008
696,3961.833008
697,3961.833008
698,3549.715591
699,3961.833008
700,4187.595128
701,4187.595128
702,4187.595128
703,4133.977870
704,4133.977870
705,4021.794636
706,4021.794636
707,4007.386110
708,3820.661417
709,3627.172806
710,3948.689044
711,3926.454657
712,3948.689044
713,3920.364651
714,3898.130264
715,3731.634421
716,3639.958995
717,3639.958995
718,3576.384767
719,3352.717261
720,3562.615006
721,3562.615006
722,3322.666970
723,3183.262211
724,3012.840946
725,3322.666970
726,3272.003251
727,3272.003251
728,3346.114792
